@RELATION NASA

@ATTRIBUTE host STRING
@ATTRIBUTE date DATE "dd/MM/yyyy" 
@ATTRIBUTE time DATE "HH:mm:ss"
@ATTRIBUTE method STRING
@ATTRIBUTE protocol STRING
@ATTRIBUTE status INTEGER
@ATTRIBUTE file STRING

@DATA
uplherc.upl.com,8/1/1995,00:01:18,GET,HTTP/1.0,200,/history/apollo/apollo-17/apollo-17-patch-small.gif
uplherc.upl.com,8/1/1995,00:01:18,GET,HTTP/1.0,200,/history/apollo/images/footprint-logo.gif
www-d3.proxy.aol.com,8/1/1995,00:01:20,GET,HTTP/1.0,200,/
in24.inetnebr.com,8/1/1995,00:01:22,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-08.txt
www-d3.proxy.aol.com,8/1/1995,00:01:28,GET,HTTP/1.0,200,/images/ksclogo-medium.gif
www-d3.proxy.aol.com,8/1/1995,00:01:28,GET,HTTP/1.0,200,/images/NASA-logosmall.gif
www-d3.proxy.aol.com,8/1/1995,00:01:28,GET,HTTP/1.0,200,/images/MOSAIC-logosmall.gif
www-d3.proxy.aol.com,8/1/1995,00:01:29,GET,HTTP/1.0,200,/images/USA-logosmall.gif
www-d3.proxy.aol.com,8/1/1995,00:01:31,GET,HTTP/1.0,200,/images/WORLD-logosmall.gif
piweba4y.prodigy.com,8/1/1995,00:01:32,GET,HTTP/1.0,200,/history/history.html
piweba4y.prodigy.com,8/1/1995,00:01:37,GET,HTTP/1.0,200,/history/apollo/images/apollo-small.gif
uplherc.upl.com,8/1/1995,00:01:38,GET,HTTP/1.0,200,/shuttle/missions/sts-71/images/images.html
133.43.96.45,8/1/1995,00:01:39,GET,HTTP/1.0,200,/shuttle/missions/sts-72/mission-sts-72.html
haraway.ucet.ufl.edu,8/1/1995,00:01:43,GET,HTTP/1.0,200,/facilities/lc39a.html
haraway.ucet.ufl.edu,8/1/1995,00:01:43,GET,HTTP/1.0,200,/images/lc39a-logo.gif
haraway.ucet.ufl.edu,8/1/1995,00:01:44,GET,HTTP/1.0,200,/images/kscmap-tiny.gif
133.68.18.180,8/1/1995,00:01:48,GET,HTTP/1.0,200,/persons/nasa-cm/jmd.html
ip-pdx6-54.teleport.com,8/1/1995,00:01:48,GET,HTTP/1.0,200,/history/apollo/apollo.html
www-c3.proxy.aol.com,8/1/1995,00:01:48,GET,HTTP/1.0,200,/shuttle/countdown/count.html
uplherc.upl.com,8/1/1995,00:01:48,GET,HTTP/1.0,200,/shuttle/missions/sts-71/images/KSC-95EC-0423.gif
133.43.96.45,8/1/1995,00:01:49,GET,HTTP/1.0,200,/shuttle/missions/sts-72/sts-72-patch-small.gif
www-d4.proxy.aol.com,8/1/1995,00:01:49,GET,HTTP/1.0,200,/images/rollout.gif
133.68.18.180,8/1/1995,00:01:49,GET,HTTP/1.0,200,/persons/nasa-cm/jmd.gif
piweba4y.prodigy.com,8/1/1995,00:01:50,GET,HTTP/1.0,200,/images/KSC-logosmall.gif
endeavor.fujitsu.co.jp,8/1/1995,00:01:51,GET,HTTP/1.0,200,/shuttle/missions/sts-68/ksc-srl-image.html
www-d3.proxy.aol.com,8/1/1995,00:01:52,GET,HTTP/1.0,200,/shuttle/missions/sts-71/mission-sts-71.html
in24.inetnebr.com,8/1/1995,00:01:54,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-09.txt
205.163.36.61,8/1/1995,00:01:55,GET,HTTP/1.0,200,/shuttle/countdown/countdown.html
rpgopher.aist.go.jp,8/1/1995,00:01:58,GET,HTTP/1.0,200,/ksc.html
139.230.35.135,8/1/1995,00:02:02,GET,HTTP/1.0,200,/shuttle/missions/sts-49/mission-sts-49.html
ip-pdx6-54.teleport.com,8/1/1995,00:02:03,GET,HTTP/1.0,200,/history/apollo/apollo-13/apollo-13.html
piweba4y.prodigy.com,8/1/1995,00:02:04,GET,HTTP/1.0,200,/history/apollo/apollo.html
www-d3.proxy.aol.com,8/1/1995,00:02:04,GET,HTTP/1.0,200,/images/KSC-logosmall.gif
www-d3.proxy.aol.com,8/1/1995,00:02:05,GET,HTTP/1.0,200,/history/apollo/images/apollo-logo1.gif
haraway.ucet.ufl.edu,8/1/1995,00:02:05,GET,HTTP/1.0,200,/images/rss.gif
www-d3.proxy.aol.com,8/1/1995,00:02:05,GET,HTTP/1.0,200,/shuttle/missions/sts-71/sts-71-patch-small.gif
uplherc.upl.com,8/1/1995,00:02:11,GET,HTTP/1.0,200,/shuttle/missions/sts-71/images/KSC-95EC-0589.gif
piweba4y.prodigy.com,8/1/1995,00:02:12,GET,HTTP/1.0,200,/history/apollo/images/footprint-small.gif
piweba1y.prodigy.com,8/1/1995,00:02:13,GET,HTTP/1.0,200,/
165.213.131.21,8/1/1995,00:02:15,GET,HTTP/1.0,200,/procurement/procurement.html
haraway.ucet.ufl.edu,8/1/1995,00:02:20,GET,HTTP/1.0,200,/facilities/mlp.html
haraway.ucet.ufl.edu,8/1/1995,00:02:21,GET,HTTP/1.0,200,/images/mlp-logo.gif
rpgopher.aist.go.jp,8/1/1995,00:02:27,GET,HTTP/1.0,200,/shuttle/countdown/
slppp6.intermind.net,8/1/1995,00:02:30,GET,HTTP/1.0,200,/history/skylab/skylab-2.html
in24.inetnebr.com,8/1/1995,00:02:32,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-10.txt
piweba1y.prodigy.com,8/1/1995,00:02:33,GET,HTTP/1.0,200,/images/ksclogo-medium.gif
205.163.36.61,8/1/1995,00:02:36,GET,HTTP/1.0,200,/shuttle/countdown/video/livevideo2.gif
rpgopher.aist.go.jp,8/1/1995,00:02:47,GET,HTTP/1.0,200,/shuttle/missions/sts-70/movies/movies.html
www-d3.proxy.aol.com,8/1/1995,00:02:54,GET,HTTP/1.0,200,/shuttle/countdown/
in24.inetnebr.com,8/1/1995,00:02:57,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-11.txt
piweba4y.prodigy.com,8/1/1995,00:03:00,GET,HTTP/1.0,200,/images/KSC-logosmall.gif
piweba4y.prodigy.com,8/1/1995,00:03:11,GET,HTTP/1.0,200,/history/apollo/images/apollo-logo1.gif
haraway.ucet.ufl.edu,8/1/1995,00:03:12,GET,HTTP/1.0,200,/shuttle/missions/sts-70/o-ring-problem.gif
rpgopher.aist.go.jp,8/1/1995,00:03:14,GET,HTTP/1.0,200,/shuttle/missions/sts-70/movies/woodpecker.mpg
piweba1y.prodigy.com,8/1/1995,00:03:22,GET,HTTP/1.0,200,/history/history.html
133.43.96.45,8/1/1995,00:03:28,GET,HTTP/1.0,200,/shuttle/resources/orbiters/endeavour.gif
in24.inetnebr.com,8/1/1995,00:03:28,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-12.txt
www-c6.proxy.aol.com,8/1/1995,00:03:28,GET,HTTP/1.0,200,/shuttle/missions/sts-68/sts-68-patch-small.gif
165.213.131.21,8/1/1995,00:03:32,GET,HTTP/1.0,200,/images/op-logo-small.gif
uplherc.upl.com,8/1/1995,00:03:37,GET,HTTP/1.0,200,/shuttle/missions/sts-71/images/KSC-95EC-0911.gif
haraway.ucet.ufl.edu,8/1/1995,00:03:39,GET,HTTP/1.0,200,/shuttle/missions/sts-71/mission-sts-71.html
haraway.ucet.ufl.edu,8/1/1995,00:03:39,GET,HTTP/1.0,200,/shuttle/missions/sts-71/sts-71-patch-small.gif
piweba4y.prodigy.com,8/1/1995,00:03:43,GET,HTTP/1.0,200,/history/apollo/images/footprint-small.gif
piweba1y.prodigy.com,8/1/1995,00:03:45,GET,HTTP/1.0,200,/images/KSC-logosmall.gif
ai.asu.edu,8/1/1995,00:03:45,GET,HTTP/1.0,200,/
haraway.ucet.ufl.edu,8/1/1995,00:03:47,GET,HTTP/1.0,200,/shuttle/technology/sts-newsref/sts_asm.html
haraway.ucet.ufl.edu,8/1/1995,00:03:48,GET,HTTP/1.0,200,/shuttle/technology/images/srb_mod_compare_6-small.gif
haraway.ucet.ufl.edu,8/1/1995,00:03:48,GET,HTTP/1.0,200,/shuttle/technology/images/srb_mod_compare_1-small.gif
haraway.ucet.ufl.edu,8/1/1995,00:03:48,GET,HTTP/1.0,200,/images/shuttle-patch-logo.gif
haraway.ucet.ufl.edu,8/1/1995,00:03:49,GET,HTTP/1.0,200,/shuttle/technology/images/srb_mod_compare_3-small.gif
in24.inetnebr.com,8/1/1995,00:03:51,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-13.txt
ai.asu.edu,8/1/1995,00:03:52,GET,HTTP/1.0,200,/facts/facts.html
rpgopher.aist.go.jp,8/1/1995,00:03:53,GET,HTTP/1.0,200,/shuttle/missions/sts-70/movies/sts-70-crew-suitup.mpg
gw1.att.com,8/1/1995,00:03:54,GET,HTTP/1.0,200,/shuttle/missions/sts-73/news/
ai.asu.edu,8/1/1995,00:03:55,GET,HTTP/1.0,200,/facts/faq01.html
async59.ts-p-caps.caps.maine.edu,8/1/1995,00:04:02,GET,HTTP/1.0,200,/software/winvn/winvn.html
rpgopher.aist.go.jp,8/1/1995,00:04:06,GET,HTTP/1.0,200,/shuttle/missions/sts-70/mission-sts-70.html
www-d3.proxy.aol.com,8/1/1995,00:04:07,GET,HTTP/1.0,200,/shuttle/missions/sts-71/movies/movies.html
pm9.j51.com,8/1/1995,00:04:08,GET,HTTP/1.0,200,/facilities/lc39a.html
piweba3y.prodigy.com,8/1/1995,00:04:08,GET,HTTP/1.0,200,/
async59.ts-p-caps.caps.maine.edu,8/1/1995,00:04:10,GET,HTTP/1.0,200,/software/winvn/winvn.gif
pm9.j51.com,8/1/1995,00:04:11,GET,HTTP/1.0,200,/images/lc39a-logo.gif
pm9.j51.com,8/1/1995,00:04:14,GET,HTTP/1.0,200,/images/kscmap-tiny.gif
rpgopher.aist.go.jp,8/1/1995,00:04:14,GET,HTTP/1.0,200,/shuttle/resources/orbiters/discovery.html
rpgopher.aist.go.jp,8/1/1995,00:04:17,GET,HTTP/1.0,200,/shuttle/resources/orbiters/discovery-logo.gif
rpgopher.aist.go.jp,8/1/1995,00:04:17,GET,HTTP/1.0,200,/images/ksclogosmall.gif
async59.ts-p-caps.caps.maine.edu,8/1/1995,00:04:18,GET,HTTP/1.0,200,/images/construct.gif
rpgopher.aist.go.jp,8/1/1995,00:04:18,GET,HTTP/1.0,200,/shuttle/resources/orbiters/orbiters-logo.gif
