@RELATION NASA

@ATTRIBUTE host STRING
@ATTRIBUTE date DATE "dd/MM/yyyy" 
@ATTRIBUTE time DATE "HH:mm:ss"
@ATTRIBUTE method STRING
@ATTRIBUTE protocol STRING
@ATTRIBUTE status INTEGER
@ATTRIBUTE file STRING

@DATA
ai.asu.edu,8/1/1995,00:03:55,GET,HTTP/1.0,200,/facts/faq01.html
async59.ts-p-caps.caps.maine.edu,8/1/1995,00:04:02,GET,HTTP/1.0,200,/software/winvn/winvn.html
rpgopher.aist.go.jp,8/1/1995,00:04:06,GET,HTTP/1.0,200,/shuttle/missions/sts-70/mission-sts-70.html
www-d3.proxy.aol.com,8/1/1995,00:04:07,GET,HTTP/1.0,200,/shuttle/missions/sts-71/movies/movies.html
pm9.j51.com,8/1/1995,00:04:08,GET,HTTP/1.0,200,/facilities/lc39a.html
piweba3y.prodigy.com,8/1/1995,00:04:08,GET,HTTP/1.0,200,/
rpgopher.aist.go.jp,8/1/1995,00:04:14,GET,HTTP/1.0,200,/shuttle/resources/orbiters/discovery.html
in24.inetnebr.com,8/1/1995,00:04:19,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-14.txt
rpgopher.aist.go.jp,8/1/1995,00:04:25,GET,HTTP/1.0,200,/shuttle/resources/orbiters/endeavour.html
haraway.ucet.ufl.edu,8/1/1995,00:04:29,GET,HTTP/1.0,200,/ksc.html
haraway.ucet.ufl.edu,8/1/1995,00:04:42,GET,HTTP/1.0,200,/shuttle/countdown/
133.43.96.45,8/1/1995,00:04:43,GET,HTTP/1.0,200,/shuttle/missions/sts-49/mission-sts-49.html
haraway.ucet.ufl.edu,8/1/1995,00:04:47,GET,HTTP/1.0,200,/shuttle/countdown/lps/fr.html
rpgopher.aist.go.jp,8/1/1995,00:04:49,GET,HTTP/1.0,200,/shuttle/missions/sts-70/images/images.html
piweba4y.prodigy.com,8/1/1995,00:04:53,GET,HTTP/1.0,200,/history/apollo/apollo-13/apollo-13.html
ppp8.montrealnet.ca,8/1/1995,00:04:53,GET,HTTP/1.0,200,/shuttle/missions/missions.html
haraway.ucet.ufl.edu,8/1/1995,00:04:55,GET,HTTP/1.0,200,/shuttle/countdown/lps/bkup-intg/bkup-intg.html
134.50.205.24,8/1/1995,00:04:57,GET,HTTP/1.0,200,/shuttle/missions/100th.html
slip4086.sirius.com,8/1/1995,00:05:10,GET,HTTP/1.0,200,/software/winvn/winvn.html
133.43.96.45,8/1/1995,00:05:14,GET,HTTP/1.0,200,/shuttle/missions/sts-57/mission-sts-57.html
ppp8.montrealnet.ca,8/1/1995,00:05:16,GET,HTTP/1.0,200,/shuttle/missions/sts-70/mission-sts-70.html
204.248.155.42,8/1/1995,00:05:30,GET,HTTP/1.0,200,/images/
haraway.ucet.ufl.edu,8/1/1995,00:05:30,GET,HTTP/1.0,200,/shuttle/missions/sts-71/movies/movies.html
204.248.155.42,8/1/1995,00:05:32,GET,HTTP/1.0,200,/icons/menu.xbm
204.248.155.42,8/1/1995,00:05:32,GET,HTTP/1.0,200,/icons/image.xbm
piweba3y.prodigy.com,8/1/1995,00:05:32,GET,HTTP/1.0,200,/shuttle/missions/sts-71/images/images.html
204.248.155.42,8/1/1995,00:05:35,GET,HTTP/1.0,200,/icons/blank.xbm
js002.cc.utsunomiya-u.ac.jp,8/1/1995,00:05:35,GET,HTTP/1.0,200,/shuttle/missions/sts-70/mission-sts-70.html
van10271.direct.ca,8/1/1995,00:05:49,GET,HTTP/1.0,200,/software/winvn/winvn.html
133.43.96.45,8/1/1995,00:05:51,GET,HTTP/1.0,200,/shuttle/missions/sts-57/mission-sts-57.html
134.h-pm2.vgs3.westel.com,8/1/1995,00:05:53,GET,HTTP/1.0,200,/software/winvn/winvn.html
ix-dfw12-08.ix.netcom.com,8/1/1995,00:05:55,GET,HTTP/1.0,200,/software/winvn/userguide/wvnguide.html
haraway.ucet.ufl.edu,8/1/1995,00:05:58,GET,HTTP/1.0,200,/shuttle/missions/sts-71/movies/sts-71-tcdt-crew-walkout.mpg
133.43.96.45,8/1/1995,00:06:00,GET,HTTP/1.0,200,/facilities/lc39a.html
sutnbgw1.ed.noda.sut.ac.jp,8/1/1995,00:06:05,GET,HTTP/1.0,200,/ksc.html
van15422.direct.ca,8/1/1995,00:06:11,GET,HTTP/1.0,200,/software/winvn/winvn.html
in24.inetnebr.com,8/1/1995,00:06:11,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-15.txt
piweba1y.prodigy.com,8/1/1995,00:06:17,GET,HTTP/1.0,200,/history/gemini/gemini.html
www-d3.proxy.aol.com,8/1/1995,00:06:17,GET,HTTP/1.0,200,/shuttle/missions/sts-71/movies/sts-71-mir-dock-2.mpg
ix-dfw12-08.ix.netcom.com,8/1/1995,00:06:20,GET,HTTP/1.0,200,/software/winvn/winvn.html
js002.cc.utsunomiya-u.ac.jp,8/1/1995,00:06:25,GET,HTTP/1.0,200,/shuttle/resources/orbiters/discovery.html
ad06-061.compuserve.com,8/1/1995,00:06:28,GET,HTTP/1.0,200,/history/apollo/apollo-13/apollo-13.html
haraway.ucet.ufl.edu,8/1/1995,00:06:35,GET,HTTP/1.0,200,/shuttle/missions/sts-71/movies/sts-71-rollover.mpg
piweba1y.prodigy.com,8/1/1995,00:06:39,GET,HTTP/1.0,200,/history/apollo/apollo.html
ad11-061.compuserve.com,8/1/1995,00:06:50,GET,HTTP/1.0,200,/
uplherc.upl.com,8/1/1995,00:06:52,GET,HTTP/1.0,200,/shuttle/missions/sts-68/ksc-srl-image.html
www-c3.proxy.aol.com,8/1/1995,00:07:05,GET,HTTP/1.0,200,/images/
ad11-061.compuserve.com,8/1/1995,00:07:13,GET,HTTP/1.0,200,/shuttle/countdown/
pm9.j51.com,8/1/1995,00:07:33,GET,HTTP/1.0,200,/facilities/mlp.html
piweba1y.prodigy.com,8/1/1995,00:07:36,GET,HTTP/1.0,200,/history/apollo/apollo-13/apollo-13.html
uplherc.upl.com,8/1/1995,00:07:40,GET,HTTP/1.0,200,/shuttle/missions/sts-66/mission-sts-66.html
js002.cc.utsunomiya-u.ac.jp,8/1/1995,00:07:44,GET,HTTP/1.0,200,/shuttle/resources/orbiters/endeavour.html
139.230.35.135,8/1/1995,00:07:44,GET,HTTP/1.0,200,/shuttle/countdown/
in24.inetnebr.com,8/1/1995,00:07:47,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-16.txt
piweba3y.prodigy.com,8/1/1995,00:08:01,GET,HTTP/1.0,200,/shuttle/missions/sts-71/mission-sts-71.html
in24.inetnebr.com,8/1/1995,00:08:20,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-17.txt
slip-4-12.ots.utexas.edu,8/1/1995,00:08:29,GET,HTTP/1.0,200,/history/gemini/gemini.html
pm9.j51.com,8/1/1995,00:08:39,GET,HTTP/1.0,200,/ksc.html
uplherc.upl.com,8/1/1995,00:08:41,GET,HTTP/1.0,200,/shuttle/missions/sts-63/mission-sts-63.html
uplherc.upl.com,8/1/1995,00:08:46,GET,HTTP/1.0,200,/shuttle/resources/orbiters/discovery.html
ad11-061.compuserve.com,8/1/1995,00:08:46,GET,HTTP/1.0,200,/shuttle/missions/sts-70/movies/movies.html
uplherc.upl.com,8/1/1995,00:08:51,GET,HTTP/1.0,200,/shuttle/resources/orbiters/endeavour.html
in24.inetnebr.com,8/1/1995,00:09:41,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-18.txt
uplherc.upl.com,8/1/1995,00:09:44,GET,HTTP/1.0,200,/shuttle/missions/sts-70/mission-sts-70.html
slip-4-12.ots.utexas.edu,8/1/1995,00:09:50,GET,HTTP/1.0,200,/history/gemini/movies/gemini-launch.mpg
uplherc.upl.com,8/1/1995,00:09:55,GET,HTTP/1.0,200,/facilities/lc39a.html
www-b5.proxy.aol.com,8/1/1995,00:10:23,GET,HTTP/1.0,200,/
dd09-012.compuserve.com,8/1/1995,00:10:26,GET,HTTP/1.0,200,/
rainbow.mts.chiba-u.ac.jp,8/1/1995,00:10:34,GET,HTTP/1.0,200,/
www-b5.proxy.aol.com,8/1/1995,00:10:50,GET,HTTP/1.0,200,/history/history.html
143.158.26.50,8/1/1995,00:10:53,GET,HTTP/1.0,200,/
www-b5.proxy.aol.com,8/1/1995,00:11:05,GET,HTTP/1.0,200,/history/apollo/apollo.html
www-b5.proxy.aol.com,8/1/1995,00:11:28,GET,HTTP/1.0,200,/history/apollo/apollo-13/apollo-13.html
uplherc.upl.com,8/1/1995,00:11:43,GET,HTTP/1.0,200,/shuttle/missions/sts-26/mission-sts-26.html
ykline6.internorth.com,8/1/1995,00:11:47,GET,HTTP/1.0,200,/images/
piweba1y.prodigy.com,8/1/1995,00:12:07,GET,HTTP/1.0,200,/history/apollo/apollo-13/apollo-13-info.html
ad06-061.compuserve.com,8/1/1995,00:12:10,GET,HTTP/1.0,200,/history/apollo/apollo-13/apollo-13.html
ns2.sharp.co.jp,8/1/1995,00:12:15,GET,HTTP/1.0,200,/
pipe1.nyc.pipeline.com,8/1/1995,00:12:22,GET,HTTP/1.0,200,/history/apollo/apollo-13/apollo-13.html
rainbow.mts.chiba-u.ac.jp,8/1/1995,00:12:28,GET,HTTP/1.0,200,/shuttle/missions/missions.html
38.10.180.30,8/1/1995,00:12:29,GET,HTTP/1.0,200,/msfc/astro_home.html
in24.inetnebr.com,8/1/1995,00:12:31,GET,HTTP/1.0,200,/shuttle/missions/sts-68/mission-sts-68.html
uplherc.upl.com,8/1/1995,00:12:46,GET,HTTP/1.0,200,/shuttle/technology/sts-newsref/sts_asm.html
ix-dfw12-08.ix.netcom.com,8/1/1995,00:13:12,GET,HTTP/1.0,200,/software/winvn/userguide/3_1_1_11.htm
128.159.129.170,8/1/1995,00:13:16,GET,HTTP/1.0,200,/
www-d3.proxy.aol.com,8/1/1995,00:13:30,GET,HTTP/1.0,200,/images/
dd09-012.compuserve.com,8/1/1995,00:13:30,GET,HTTP/1.0,200,/facts/facts.html
in24.inetnebr.com,8/1/1995,00:13:42,GET,HTTP/1.0,200,/shuttle/missions/sts-68/mission-sts-68.html
pm9.j51.com,8/1/1995,00:13:43,GET,HTTP/1.0,200,/history/apollo/apollo-spacecraft.txt
piweba1y.prodigy.com,8/1/1995,00:13:46,GET,HTTP/1.0,200,/history/apollo/apollo-13/apollo-13-info.html
www-d3.proxy.aol.com,8/1/1995,00:13:47,GET,HTTP/1.0,200,/icons/blank.xbm
rainbow.mts.chiba-u.ac.jp,8/1/1995,00:13:48,GET,HTTP/1.0,200,/shuttle/missions/sts-1/mission-sts-1.html
www-d3.proxy.aol.com,8/1/1995,00:13:51,GET,HTTP/1.0,200,/icons/image.xbm
www-d3.proxy.aol.com,8/1/1995,00:13:52,GET,HTTP/1.0,200,/icons/menu.xbm
www-d3.proxy.aol.com,8/1/1995,00:13:58,GET,HTTP/1.0,200,/icons/unknown.xbm
dd09-012.compuserve.com,8/1/1995,00:14:01,GET,HTTP/1.0,200,/facts/faq07.html
139.230.35.135,8/1/1995,00:14:04,GET,HTTP/1.0,200,/htbin/cdt_main.pl
piweba1y.prodigy.com,8/1/1995,00:14:04,GET,HTTP/1.0,200,/history/apollo/apollo-13/movies/
143.158.26.50,8/1/1995,00:14:07,GET,HTTP/1.0,200,/
piweba1y.prodigy.com,8/1/1995,00:14:15,GET,HTTP/1.0,200,/icons/blank.xbm
piweba1y.prodigy.com,8/1/1995,00:14:24,GET,HTTP/1.0,200,/icons/menu.xbm
uplherc.upl.com,8/1/1995,00:14:41,GET,HTTP/1.0,200,/shuttle/technology/sts-newsref/stsref-toc.html
143.158.26.50,8/1/1995,00:14:41,GET,HTTP/1.0,200,/shuttle/countdown/
139.230.35.135,8/1/1995,00:14:45,GET,HTTP/1.0,200,/htbin/cdt_main.pl
133.43.96.45,8/1/1995,00:14:50,GET,HTTP/1.0,200,/history/apollo/apollo.html
piweba1y.prodigy.com,8/1/1995,00:14:51,GET,HTTP/1.0,200,/icons/movie.xbm
143.158.26.50,8/1/1995,00:14:59,GET,HTTP/1.0,200,/shuttle/missions/sts-70/mission-sts-70.html
rainbow.mts.chiba-u.ac.jp,8/1/1995,00:15:09,GET,HTTP/1.0,200,/persons/astronauts/u-to-z/YoungJW.txt
194.157.109.130,8/1/1995,00:15:33,GET,HTTP/1.0,200,/history/history.html
194.157.109.130,8/1/1995,00:15:41,GET,HTTP/1.0,200,/history/rocket-history.txt
uplherc.upl.com,8/1/1995,00:15:47,GET,HTTP/1.0,200,/shuttle/technology/sts-newsref/sts-av.html
rdr4.ccinet.ab.ca,8/1/1995,00:16:08,GET,HTTP/1.0,200,/shuttle/countdown/
uplherc.upl.com,8/1/1995,00:16:12,GET,HTTP/1.0,200,/shuttle/technology/sts-newsref/sts-gnnc.html
131.235.117.31,8/1/1995,00:16:15,GET,HTTP/1.0,200,/images/
131.235.117.31,8/1/1995,00:16:17,GET,HTTP/1.0,200,/icons/blank.xbm
131.235.117.31,8/1/1995,00:16:17,GET,HTTP/1.0,200,/icons/menu.xbm
131.235.117.31,8/1/1995,00:16:18,GET,HTTP/1.0,200,/icons/image.xbm
131.235.117.31,8/1/1995,00:16:22,GET,HTTP/1.0,200,/icons/unknown.xbm
ad10-015.compuserve.com,8/1/1995,00:16:43,GET,HTTP/1.0,200,/shuttle/missions/51-l/mission-51-l.html
dialip129.gov.bc.ca,8/1/1995,00:16:47,GET,HTTP/1.0,200,/history/apollo/apollo.html
palpk-s13.intac.com,8/1/1995,00:16:59,GET,HTTP/1.0,200,/images/
scctn02.sp.ac.sg,8/1/1995,00:16:59,GET,HTTP/1.0,200,/
palpk-s13.intac.com,8/1/1995,00:17:01,GET,HTTP/1.0,200,/icons/blank.xbm
palpk-s13.intac.com,8/1/1995,00:17:01,GET,HTTP/1.0,200,/icons/menu.xbm
palpk-s13.intac.com,8/1/1995,00:17:01,GET,HTTP/1.0,200,/icons/image.xbm
palpk-s13.intac.com,8/1/1995,00:17:05,GET,HTTP/1.0,200,/icons/unknown.xbm
143.158.26.50,8/1/1995,00:17:18,GET,HTTP/1.0,200,/history/history.html
dialip129.gov.bc.ca,8/1/1995,00:17:23,GET,HTTP/1.0,200,/history/apollo/apollo-11/apollo-11.html
143.158.26.50,8/1/1995,00:17:29,GET,HTTP/1.0,200,/shuttle/missions/missions.html
139.230.35.135,8/1/1995,00:17:29,GET,HTTP/1.0,200,/shuttle/countdown/liftoff.html
ad11-061.compuserve.com,8/1/1995,00:17:38,GET,HTTP/1.0,200,/shuttle/missions/sts-70/movies/sts-70-launch.mpg
139.230.35.135,8/1/1995,00:17:41,GET,HTTP/1.0,200,/shuttle/countdown/liftoff.html
139.230.35.135,8/1/1995,00:17:53,GET,HTTP/1.0,200,/shuttle/countdown/liftoff.html
