@RELATION NASA-USERS-CATEGORY

@ATTRIBUTE host STRING
@ATTRIBUTE session-number INTEGER
@ATTRIBUTE operations {small,medium,large}
@ATTRIBUTE session-time {short,average,long}
@ATTRIBUTE average-time {small,medium,large}
@ATTRIBUTE /shuttle/missions/sts-69/mission-sts-69.html {T,F}
@ATTRIBUTE /shuttle/missions/missions.html {T,F}
@ATTRIBUTE /shuttle/missions/sts-70/mission-sts-70.html {T,F}
@ATTRIBUTE /ksc.html {T,F}
@ATTRIBUTE /shuttle/countdown/ {T,F}
@ATTRIBUTE /history/apollo/apollo-13/ {T,F}
@ATTRIBUTE /history/apollo/ {T,F}
@ATTRIBUTE /shuttle/missions/sts-69/ {T,F}
@ATTRIBUTE /shuttle/missions/ {T,F}
@ATTRIBUTE /htbin/wais.pl {T,F}
@ATTRIBUTE /images/ {T,F}
@ATTRIBUTE /images {T,F}
@ATTRIBUTE /shuttle {T,F}
@ATTRIBUTE /shuttle/ {T,F}
@ATTRIBUTE /shuttle/missions/sts-70/ {T,F}
@ATTRIBUTE /shuttle/technology/ {T,F}
@ATTRIBUTE /shuttle/missions/sts-69 {T,F}
@ATTRIBUTE /shuttle/countdown {T,F}
@ATTRIBUTE /shuttle/missions {T,F}
@ATTRIBUTE /software/winvn/ {T,F}
@ATTRIBUTE /software/ {T,F}
@ATTRIBUTE /elv/ {T,F}
@ATTRIBUTE /shuttle/missions/sts-71/ {T,F}
@ATTRIBUTE /software/winvn {T,F}
@ATTRIBUTE /shuttle/technology/sts-newsref/ {T,F}
@ATTRIBUTE /l {T,F}
@ATTRIBUTE /history {T,F}
@ATTRIBUTE /history/ {T,F}
@ATTRIBUTE /history/apollo {T,F}
@ATTRIBUTE /shuttle/mission {T,F}
@ATTRIBUTE /shuttle/missions/sts-71 {T,F}
@ATTRIBUTE /software {T,F}
@ATTRIBUTE /missions/missions.html {T,F}

@DATA
128.159.112.24,1,short,3,small,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.121.108,1,average,2,large,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.121.32,1,short,2,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.121.64,1,average,3,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.121.64,9,long,2,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.121.64,10,long,5,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.107,4,short,2,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.107,8,average,2,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.137,1,long,5,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.137,6,short,3,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.137,8,short,2,small,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.14,1,long,2,large,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.143,1,long,4,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.160,1,short,3,small,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.162,1,long,4,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.180,1,short,2,medium,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.197,1,short,5,small,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.197,3,long,3,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.233,2,short,2,small,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.233,7,long,3,large,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.233,8,short,2,large,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.233,10,long,3,large,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.235,1,short,2,medium,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.38,1,short,2,small,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.38,9,long,5,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.38,11,short,3,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
128.159.122.56,1,average,2,large,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
